Question,Answer
What to do for Intestinal Pseudo-obstruction ?,"Researchers have not found that eating, diet, and nutrition play a role in causing or preventing intestinal pseudo-obstruction. Following special diets usually does not help improve the disorder. However, eating frequent, small meals with pureed foods or liquids may ease digestion. Vitamin and trace mineral supplements may help a person who is malnourished."
How many people are affected by Acromegaly ?,"Small pituitary adenomas are common, affecting about 17 percent of the population.1 However, research suggests most of these tumors do not cause symptoms and rarely produce excess GH.2 Scientists estimate that three to four out of every million people develop acromegaly each year and about 60 out of every million people suffer from the disease at any time.3 Because the clinical diagnosis of acromegaly is often missed, these numbers probably underestimate the frequency of the disease."
How to diagnose What I need to know about Cirrhosis ?,"Your doctor will examine you and may perform - blood tests to see whether your liver is working properly - imaging tests, which may show the size of your liver and show swelling or shrinkage - a liver biopsy, in which a doctor uses a needle to take a small piece of liver tissue to view with a microscope to look for scar tissue"
What are the treatments for What I need to know about Cirrhosis ?,"If too much scar tissue forms, your liver could fail. Then you will need a liver transplant. A liver transplant can return you to good health. For information about liver transplantation, see the booklet What I need to know about Liver Transplantation from the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)."
What to do for What I need to know about Cirrhosis ?,#NAME?
What to do for Monogenic Forms of Diabetes: Neonatal Diabetes Mellitus and Maturity-onset Diabetes of the Young ?,#NAME?
How to prevent Microscopic Colitis: Collagenous Colitis and Lymphocytic Colitis ?,"Researchers do not know how to prevent microscopic colitis. However, researchers do believe that people who follow the recommendations of their health care provider may be able to prevent relapses of microscopic colitis."
Who is at risk for Microscopic Colitis: Collagenous Colitis and Lymphocytic Colitis? ?,"No. Unlike the other inflammatory bowel diseases, such as Crohns disease and ulcerative colitis, microscopic colitis does not increase a persons risk of getting colon cancer."
What are the treatments for Fecal Incontinence ?,"Treatment for fecal incontinence may include one or more of the following: - eating, diet, and nutrition - medications - bowel training - pelvic floor exercises and biofeedback - surgery - electrical stimulation"
What is (are) What I need to know about Diverticular Disease ?,"Diverticular* disease affects the colon. The colon is part of the large intestine that removes waste from your body. Diverticular disease is made up of two conditions: diverticulosis and diverticulitis. Diverticulosis occurs when pouches, called diverticula, form in the colon. These pouches bulge out like weak spots in a tire. Diverticulitis occurs if the pouches become inflamed. *See the Pronunciation Guide for tips on how to say the words in bold type."
Who is at risk for What I need to know about Diverticular Disease? ?,"Many people get diverticular disease. Starting at age 40, the chance of getting it increases about every 10 years. About half of people between the ages of 60 and 80 have diverticular disease. Almost everyone over 80 has it."
What are the treatments for What I need to know about Diverticular Disease ?,"Treatment for diverticular disease depends on how serious the problem is and whether you are suffering from diverticulosis or diverticulitis. Most people get better by changing their diet. If you have rectal bleeding, you need to go to the hospital so a doctor can find the part of your colon that is bleeding. The doctor may use a special drug that makes the bleeding stop. The doctor may also decide to operate and remove the part of the colon that is bleeding."
